Country,City,Metro Pop,Geo Reason,GR Note
Botswana,Gaborone,250K,Location,Central siting made Gaborone suitable as the new national capital
Brazil,Rio de Janeiro,13.0M,Harbor,Atlantic Ocean. Guanabara Bay harbor between mountains and coast; one of South America's great natural harbors
Brazil,Sao Paulo,21.7M,Resource,Fertile coffee-growing plateau helped anchor Sao Paulo's expansion
Brunei,Bandar Seri Begawan,150K,River,Brunei River. Brunei River on the north coast of Borneo supported a historic Malay sultanate trading port and capital
Bulgaria,Sofia,1.3M,Location,Balkan crossroads on the Via Militaris favored trade and movement
Burkina Faso,Ouagadougou,3.5M,Topography,Mossi Plateau setting provided a stable interior settlement base
Burundi,Bujumbura,1.2M,Harbor,Lake Tanganyika. Northeastern shore port on Lake Tanganyika; colonial administrative center and Burundi's primary commercial gateway
Cambodia,Phnom Penh,2.4M,River,"Mekong, Tonle Sap, and Bassac rivers. Confluence of the Mekong, Tonle Sap, and Bassac rivers created a fertile and strategic riverine crossroads for the Khmer capital"
Cameroon,Douala,4.1M,Harbor,Gulf of Guinea. Wouri River estuary port; Cameroon's main commercial harbor and largest city
Cameroon,Yaounde,4.9M,Topography,Hilly forested plateau between the Nyong and Sanaga rivers; chosen as a cooler inland colonial administrative post
Canada,Toronto,6.4M,Harbor,"Lake Ontario. Natural harbour on Lake Ontario's northwest shore, sheltered by sandbar peninsula; chosen 1793 as Upper Canada capital for its defensible port and strategic position"
Cape Verde,Praia,170K,Harbor,Atlantic Ocean. Natural harbor on Santiago island in the Cape Verde archipelago; Portuguese colonial port and the country's capital and main urban center
Central African Republic,Bangui,1.4M,River,Ubangi River. Ubangi River port at the head of navigation; served as French colonial outpost and gateway to the interior
Chad,N'Djamena,1.9M,River,Chari and Logone rivers. Confluence of the Chari and Logone rivers provided water and fertile land in the Sahel for the capital
Chile,Santiago,7.2M,Topography,Mapocho River valley in Chile's Central Valley with Santa Lucía hill for defense and lookout; Pedro de Valdivia chose the site in 1541 for the colonial capital
China,Beijing,22.0M,Location,North China Plain historic crossroads and capital site
China,Chengdu,10.2M,Topography,"Sichuan Basin fertile plain. Protected lowland basin irrigated by the ancient Dujiangyan system, creating a rich agricultural and administrative center"
China,Chongqing,18.5M,River,Yangtze and Jialing rivers confluence. Strategic river confluence and mountain-ringed basin serving as southwest China's major transport hub
China,Guangzhou-Shenzhen,69.6M,Harbor,South China Sea. Pearl River Delta; historic and modern gateway for South China trade and manufacturing
China,Hangzhou,12.4M,Location,"Southern terminus of the Grand Canal and Qiantang River. West Lake basin supported scenic growth, trade, and its role as an imperial capital"
China,Nanjing,10.4M,River,"Yangtze River lower reaches. Strategic and defensible riverside location ringed by hills, serving as China's historic southern capital"
China,Shanghai,29.0M,Harbor,East China Sea. Yangtze River estuary; major port and gateway to interior China
China,Tianjin,14.9M,Harbor,Bohai Gulf coast and Hai River confluence. Served as the crucial maritime gateway and deepwater port for Beijing and northern China
China,Wuhan,10.0M,River,Yangtze and Han rivers confluence. Premier central China river hub and crossroads connecting north-south and east-west trade routes
Colombia,Bogota,10.7M,Topography,High Andean sabana plateau provided broad settled terrain
Comoros,Moroni,60K,Harbor,Indian Ocean. Port on the southwest coast of Grande Comore; Comoros' capital and historic Indian Ocean trade and stopover point
"Congo, Democratic Republic of the",Kinshasa,13.1M,River,"Congo River. Congo River at Malebo Pool below rapids (navigation head); major river port and opposite Brazzaville, central African hub"
"Congo, Republic of the",Brazzaville,3.1M,River,Congo River. Congo River port directly opposite Kinshasa at Malebo Pool; French colonial capital chosen for river access
Costa Rica,San Jose,2.2M,Topography,Central Valley highland basin offered favorable settled terrain
Croatia,Zagreb,1.0M,River,Sava River. Sava River along the southern edge of the Pannonian plain supported trade and the Croatian capital's development
Cuba,Havana,1.8M,Harbor,"Caribbean Sea. Excellent natural harbor (one of the Caribbean's best) on Cuba's north coast; Spanish colonial fortress port, key to New World treasure fleets"
Cyprus,Nicosia,330K,Topography,Central Cypriot plain supported an inland settlement center
Czech Republic,Prague,1.3M,River,Vltava River. Vltava River valley with its defensible hills and crossing points anchored the historic Bohemian capital
Denmark,Copenhagen,1.7M,Harbor,Baltic Sea. Natural harbor on the Øresund strait; historic Baltic-North Sea trade hub and capital of Denmark
Djibouti,Djibouti,710K,Harbor,Gulf of Aden. Strategic chokepoint harbor on the Gulf of Aden; key for Red Sea and Indian Ocean shipping routes
Dominica,Roseau,15K,River,Roseau River. Roseau River on the western coast provided a sheltered valley and water source for the island's main settlement and capital
Dominican Republic,Santo Domingo,4.6M,Harbor,Caribbean Sea. Ozama River mouth harbor on Hispaniola's south coast; site of first permanent European settlement in the Americas (1496-98) and Spanish colonial capital
East Timor,Dili,280K,Harbor,"Timor Sea. Natural harbor on Timor-Leste's north coast; Portuguese colonial port and capital, later key to independent East Timor"
Ecuador,Guayaquil,3.3M,Harbor,"Pacific Ocean. Guayas River estuary port; Ecuador's largest city and historic Pacific gateway for cacao, bananas, and trade"
Ecuador,Quito,2.8M,Topography,High Andean basin on the slopes of Pichincha volcano near the equator; historical Inca regional capital and Spanish administrative center
Egypt,Cairo,22.7M,River,Nile River. Nile River at the head of the delta; the river's annual flood supported one of the world's longest continuous urban histories and Egypt's capital
El Salvador,San Salvador,1.6M,Topography,Valle de las Hamacas highland basin concentrated settlement
England,London,11.4M,River,Thames River. Tidal Thames River with its sheltered pool and bridge crossing became the commercial and political heart of England
Equatorial Guinea,Malabo,300K,Harbor,Gulf of Guinea. Port on Bioko (Fernando Po) island; Equatorial Guinea's capital with access to a deep natural harbor
Eritrea,Asmara,1.0M,Topography,Eritrean highland plateau gave Asmara a cool elevated setting
Estonia,Tallinn,450K,Harbor,"Baltic Sea. Natural harbor on the Gulf of Finland south shore; Hanseatic, Swedish, Russian, and Soviet port; Estonia's capital and Baltic trading city"
Eswatini,Mbabane,95K,Topography,Highland setting made Mbabane a favorable settlement site
Ethiopia,Addis Ababa,7.9M,Topography,Elevated highland site favored the capital's establishment
Federated States of Micronesia,Weno,13K,Harbor,Pacific Ocean. Main harbor and settlement on Weno in Chuuk Lagoon; regional transport and admin hub
Fiji,Suva,180K,Harbor,"Pacific Ocean. Natural harbor on Viti Levu; British colonial capital chosen for its sheltered port, central to South Pacific"
Finland,Helsinki,1.3M,Harbor,"Baltic Sea. Natural harbor on the Gulf of Finland; founded as port and capital of Finland, key Baltic trade and naval gateway"
France,Paris,11.3M,River,Seine River. Seine River at Ile de la Cité; the island and river bends created a defensible and well-connected site for the French capital
Gabon,Libreville,890K,Harbor,"Atlantic Ocean. Port on the Gabon Estuary (Komo River mouth); founded as French settlement for freed slaves, capital and main harbor"
Gambia,Serrekunda,340K,Location,Proximity to Banjul placed Serrekunda in the main urban corridor
Georgia,Tbilisi,1.3M,River,"Mtkvari/Kura River. Mtkvari (Kura) River in a dramatic gorge provided water, defense, and a Silk Road corridor for the Georgian capital"
Germany,Berlin,4.4M,River,Spree River. Spree River and its lakes and canals in the North European Plain supported the growth of the Prussian and German capital
Ghana,Accra,6.3M,Location,Central position on the Gold Coast (Gulf of Guinea); British colonial capital selected in 1877 for administration amid coastal forts and trade routes
Greece,Athens,3.4M,Topography,Acropolis hilltop terrain gave Athens a defensible settlement core
Grenada,Saint George's,40K,Harbor,Caribbean Sea. Caribbean's famously beautiful harbor in a volcanic crater rim; British colonial capital and nutmeg/spice trade port
Guatemala,Guatemala City,2.9M,Topography,Highland valley setting supported the colonial capital move
Guinea,Conakry,3.0M,Harbor,"Atlantic Ocean. Kaloum Peninsula port; French colonial capital on a natural tombolo, Guinea's main deepwater harbor"
Guinea-Bissau,Bissau,660K,Harbor,Atlantic Ocean. Geba River estuary port; Portuguese colonial capital and main commercial harbor for Guinea-Bissau
Guyana,Georgetown,240K,Harbor,Atlantic Ocean. Demerara River mouth harbor on Guyana's coast; Dutch then British colonial port and capital for sugar and later bauxite
Haiti,Port au Prince,1.7M,Harbor,"Caribbean Sea. Gulf of Gonâve bay harbor on Haiti's west coast; French colonial capital founded 1749, major Caribbean port city"
Honduras,Tegucigalpa,1.7M,Resource,Nearby silver deposits drew mining settlement and growth
Hungary,Budapest,2.5M,River,"Danube River. Danube River crossing and bend; the river divided and connected Buda and Pest, forming the Hungarian capital"
Iceland,Reykjavik,240K,Harbor,"Atlantic Ocean. Natural harbor on Faxaflói bay in southwest Iceland; site of earliest Norse settlement and the modern capital, key fishing and trade port"
India,Bangalore,14.8M,Topography,"Deccan Plateau ridge setting provided an elevated, temperate climate suitable for administrative and industrial growth"
India,Chennai,12.6M,Harbor,"Bay of Bengal coast. Developed around a colonial trading post and port, becoming a major maritime gateway for South India"
India,Delhi,33.2M,River,Yamuna River. Yamuna River on the Indo-Gangetic plain; successive capitals from ancient to Mughal and modern Delhi were sited along its banks
India,Hyderabad,11.6M,River,Musi River. Selected as the new capital site in 1591 for water supply and regional trade routes on the Deccan Plateau
India,Kolkata,21.5M,River,Hooghly River. Hooghly River (Ganges distributary) in the delta; British East India Company port that grew into the colonial capital of India
India,Mumbai,22.0M,Harbor,Arabian Sea. Natural deep harbor on Arabian Sea island site; historic and modern gateway for western India
Indonesia,Jakarta,36.9M,Harbor,Java Sea. Ciliwung River estuary and sheltered bay on northwest Java; Dutch VOC selected 1619 as fortified HQ for control of East Indies maritime trade
Iran,Tehran,14.1M,Location,Alborz foothill crossroads linked historic Persian trade routes
Iraq,Baghdad,7.2M,River,Tigris River. Tigris River in the Mesopotamian plain; historic Abbasid capital and riverine trade center of Iraq
Ireland,Dublin,1.5M,Harbor,"Irish Sea. Tidal 'black pool' (dubh linn) harbor at the Liffey mouth; Viking longphort ~841 became major western slave and trade emporium, foundation of the city"
Israel,Tel Aviv,3.1M,Location,"Mediterranean coastal plain sand dunes north of historic Jaffa; founded 1909 as modern Jewish garden suburb, immigration waves drove early growth"
Italy,Rome,3.3M,River,Tiber River. Tiber River island and crossing in central Italy; legendary founding site and river access supported Rome's rise as capital
Ivory Coast,Abidjan,6.5M,Harbor,Gulf of Guinea. Ébrié Lagoon with canal access to the sea; Ivory Coast's economic capital and one of West Africa's busiest container ports
Jamaica,Kingston,1.0M,Harbor,"Caribbean Sea. One of the world's largest natural harbors in a protected bay; British naval base, sugar port, and colonial capital of Jamaica"
Japan,Osaka-Kobe-Kyoto,15.0M,Harbor,Pacific Ocean. Osaka Bay and Yodo River delta; historic commercial center for western Japan
Japan,Tokyo-Yokohama,37.3M,Location,Kanto Plain site on Edo Bay; Tokugawa established Edo as political capital 1603; sankin-kotai system drove rapid early-modern population growth
Jordan,Amman,6.7M,Location,King's Highway crossroads made Amman a durable route hub
Kazakhstan,Almaty,2.5M,Location,Tian Shan foothill position linked Almaty to Silk Road routes
Kenya,Nairobi,7.3M,Location,Railroad-depot position on the highland route anchored Nairobi's growth
Kiribati,Tarawa Atoll,60K,Topography,Coral atoll geography concentrated settlement on limited land
Kosovo,Pristina,220K,Topography,Kosovo Plain terrain supported a long-standing settlement center
Kuwait,Kuwait City,4.1M,Harbor,"Persian Gulf. Natural harbor on Kuwait Bay; founded ~1716 as Bani Utub trading settlement, later major oil export and capital"
Kyrgyzstan,Bishkek,1.5M,River,Ala-Archa and Alamedin rivers. Confluence area of the Ala-Archa and Alamedin rivers at the Tian Shan foothills provided water for the Kyrgyz capital
Laos,Vientiane,1.0M,River,Mekong River. Mekong River port on the Thai border; river trade and fertile valley supported the Laotian capital
Latvia,Riga,700K,Harbor,"Baltic Sea. Daugava River mouth harbor; Hanseatic member, major medieval-to-imperial port, Latvia's capital"
Lebanon,Beirut,1.9M,Harbor,Mediterranean Sea. Natural harbor on Lebanon's coast; one of the oldest continuously inhabited cities and historic Phoenician-to-modern trade port
Lesotho,Maseru,330K,Topography,Highland edge setting beside the Caledon Valley supported settlement
Liberia,Monrovia,1.5M,Harbor,Atlantic Ocean. Cape Mesurado harbor; founded 1822 by American Colonization Society for freed slaves; capital of Africa's first republic
Libya,Tripoli,1.3M,Harbor,"Mediterranean Sea. Natural harbor on Libya's Mediterranean coast; historic Phoenician, Roman, Arab, and Ottoman port; capital of Tripolitania"
Liechtenstein,Schaan,6K,Topography,Rhine Valley floor provided the country's main developable land
Lithuania,Vilnius,560K,River,Neris and Vilnia rivers. Confluence of the Neris and Vilnia rivers in a forested valley offered a defensible site for the Lithuanian capital
Luxembourg,Luxembourg,130K,Topography,Bock promontory and Alzette gorge created a defensible site
Madagascar,Antananarivo,3.2M,Topography,High central plateau setting supported the capital's growth
Malawi,Lilongwe,1.3M,Location,Central Malawi siting supported Lilongwe's planned capital role
Malaysia,Kuala Lumpur,9.9M,River,Klang and Gombak rivers. Confluence of the Klang and Gombak rivers in the Malay Peninsula tin belt; the 'muddy confluence' gave the city its name and early mining wealth
Maldives,Male,250K,Topography,Small atoll-island geography concentrated national settlement in Male
Mali,Bamako,4.2M,River,Niger River. Niger River in the Sahel; the river's inland delta and navigability made Bamako a key trade and French colonial center
Malta,St. Paul's Bay,30K,Harbor,"Mediterranean Sea. St. Paul's Bay on Malta's northeast coast; historic shipwreck site, fishing harbor and later major urban/tourist settlement north of Valletta"
Marshall Islands,Majuro,30K,Topography,Coral atoll geography focused settlement on Majuro's narrow land
Mauritania,Nouakchott,1.4M,Location,Coastal siting made Nouakchott suitable for the new capital
Mauritius,Port Louis,150K,Harbor,Indian Ocean. Natural harbor in a volcanic crater on Mauritius' northwest coast; French then British colonial capital and key Indian Ocean sugar/trade port
Mexico,Mexico City,18.9M,Topography,Lake Texcoco basin and island setting anchored early settlement
Moldova,Chisinau,640K,River,Bic River. Bic River valley in the Bessarabian hills provided a sheltered setting for the Moldovan capital
Monaco,Monaco,40K,Harbor,"Mediterranean Sea. Deep natural harbor in the tiny Mediterranean principality; historic Genoese/Grimaldi fortress port, now world-famous luxury and yachting harbor"
Mongolia,Ulaanbaatar,1.7M,River,Tuul River. Tuul River in a broad valley at the edge of the steppe; water source for the winter capital of the Mongol heartland
Montenegro,Podgorica,180K,River,Moraca and Ribnica rivers. Confluence of the Moraca and Ribnica rivers in the Zeta plain; central location made it the republican capital
Morocco,Casablanca,4.6M,Harbor,Atlantic Ocean. Atlantic coastal site (former Anfa); French from 1907 developed as Morocco's chief modern port and primary economic capital
Mozambique,Maputo,2.9M,Harbor,"Indian Ocean. Delagoa Bay natural harbor on Mozambique's south coast; Portuguese colonial port (Lourenço Marques) and capital, key for regional transit trade"
Myanmar,Yangon,6.8M,River,"Yangon River. Yangon (Rangoon) River, a distributary of the Irrawaddy; British colonial port and former capital of Myanmar"
Namibia,Windhoek,450K,Location,Central highland position made Windhoek a practical capital site
Nauru,Yaren (de facto),10K,Resource,Phosphate deposits shaped settlement and administration on Nauru
Nepal,Kathmandu,3.5M,Topography,Kathmandu Valley basin provided protected developable terrain
Netherlands,Amsterdam,1.8M,Harbor,North Sea. Amstel river mouth and IJ bay; historic Dutch trading port and gateway to the Zuiderzee routes
New Zealand,Auckland,1.6M,Harbor,"Pacific Ocean. Waitematā Harbour on the Hauraki Gulf, North Island; British 1840 colonial capital site chosen for excellent sheltered harbor and access"
Nicaragua,Managua,1.5M,Topography,Lake Managua shore setting concentrated settlement on the lakeside plain
Niger,Niamey,1.5M,River,Niger River. Niger River in the Sahel; the river provided water and limited navigation for the capital of Niger
Nigeria,Lagos,15.3M,Harbor,Gulf of Guinea. Lagos Lagoon and island channels; historic Yoruba then European slave/palm oil port; Nigeria's largest city and former capital
North Korea,Pyongyang,2.7M,River,Taedong River. Taedong River in the northwestern plain; historic Korean capital site with river access and fertile surroundings
North Macedonia,Skopje,600K,River,Vardar River. Vardar River valley in the Balkan highlands; river corridor and crossroads supported the Macedonian capital
Northern Ireland,Belfast,650K,Harbor,"Irish Sea. Belfast Lough and Lagan estuary harbor; shipbuilding, linen, and industrial port; capital of Northern Ireland"
Norway,Oslo,1.1M,Harbor,Skagerrak. Head of Oslofjord; Viking-age Viken grew into Norway's capital and historic Baltic/North Sea trade port
Oman,Muscat,1.4M,Harbor,"Gulf of Oman. Natural harbor sheltered by mountains; ancient and Omani trading port, strategic Indian Ocean capital"
Pakistan,Karachi,21.3M,Harbor,"Arabian Sea. Natural deep harbor on the Arabian Sea (Sindh coast); British developed as major port for the Punjab and northwest, now Pakistan's largest city"
Pakistan,Lahore,14.5M,River,Ravi River. Ravi River in the fertile Punjab plains; historic Mughal and Sikh capital with extensive gardens and irrigation
Palau,Koror,11K,Harbor,"Pacific Ocean. Harbor area in Koror; main urban, commercial, and former capital center with lagoon access in the western Caroline Islands"
Panama,Panama City,1.4M,Harbor,"Pacific Ocean. Pacific terminus of the Panama Canal on the Gulf of Panama; Spanish colonial transshipment port for Peruvian silver, later canal boom capital"
Papua New Guinea,Port Moresby,400K,Harbor,Coral Sea. Natural harbor on Papua New Guinea's south coast; Australian colonial administrative center and chief port for the territory
Paraguay,Asuncion,2.3M,River,Paraguay River. Paraguay River port near the confluence with the Pilcomayo; Spanish colonial river gateway and capital of Paraguay
Peru,Lima,10.9M,River,Rimac River. Rimac River flowing from the Andes to the Pacific coastal desert; the river oasis supported the Inca and Spanish capital of Peru
Philippines,Manila,25.5M,Harbor,"South China Sea. Manila Bay, one of the world's great natural harbors at the Pasig mouth; Spanish colonial capital and Manila galleon trade port for 300+ years"
Poland,Warsaw,2.1M,River,Vistula River. Vistula River crossing on the North European Plain; central Polish river port and capital
Portugal,Lisbon,2.9M,Harbor,Atlantic Ocean. Tagus River estuary 'harbor of harbors'; strategic launch point for the Age of Discoveries and Portugal's global empire trade
Qatar,Doha,2.1M,Harbor,Persian Gulf. Natural harbor on the Persian Gulf; historic pearling and fishing village that grew into Qatar's capital and modern LNG export hub
Romania,Bucharest,2.1M,River,Dambovita River. Dambovita River on the Wallachian plain; river and later canal supported Bucharest as the Romanian capital
Russia,Moscow,18.5M,River,Moskva River. Moskva River in the central Russian plain; the river and its kremlin hill site anchored the Russian capital's growth
Rwanda,Kigali,1.1M,Location,Central position among Rwanda's highland ridges favored administration
Saint Kitts and Nevis,Basseterre,15K,Harbor,Caribbean Sea. Caribbean harbor on St. Kitts; British colonial capital of the Leeward Islands and sugar export port
Saint Lucia,Castries,70K,Harbor,Caribbean Sea. Sheltered harbor on St. Lucia's northwest coast; French/British colonial capital and key banana/sugar export port
Saint Vincent and the Grenadines,Kingstown,40K,Harbor,Caribbean Sea. Natural harbor on St. Vincent; colonial capital and main port serving the Grenadines and Windward Islands trade
Samoa,Apia,40K,Harbor,"Pacific Ocean. Harbor on Upolu; German then New Zealand colonial capital, central to governance and trade in the Polynesian nation"
San Marino,Serravalle,11K,Topography,Valley terrain gave Serravalle more room for settlement growth
Sao Tome and Principe,Sao Tome,70K,Harbor,"Gulf of Guinea. Natural harbor on São Tomé island; Portuguese colonial capital for the island nation, historic sugar then cocoa port"
Saudi Arabia,Riyadh,8.6M,Location,Najd oasis position on Arabian routes supported settlement and trade
Scotland,Edinburgh,550K,Topography,Castle Rock hilltop terrain gave Edinburgh a defensible core
Senegal,Dakar,3.8M,Harbor,"Atlantic Ocean. Cap Vert peninsula harbor on the Atlantic, westernmost Africa; French West Africa capital and major naval/commercial port"
Serbia,Belgrade,1.4M,River,Sava and Danube rivers. Confluence of the Sava and Danube rivers; strategic 'White Fortress' at the Pannonian-Balkan crossroads and Serbian capital
Seychelles,Victoria,30K,Harbor,Indian Ocean. Harbor on Mahé island; British colonial capital and main port for the Seychelles archipelago in the western Indian Ocean
Sierra Leone,Freetown,2.0M,Harbor,"Atlantic Ocean. Excellent natural harbor on the Sierra Leone River estuary; founded 1787 as Province of Freedom for freed slaves, capital of the colony"
Singapore,Singapore,6.1M,Harbor,Strait of Malacca. Malacca Strait chokepoint; natural deepwater harbor at the crossroads of Indian Ocean and South China Sea trade
Slovakia,Bratislava,660K,River,Danube River. Danube River crossing and port at the foot of the Carpathians; historic coronation city and Slovak capital
Slovenia,Ljubljana,300K,River,Ljubljanica River. Ljubljanica River in a karst basin between Alps and Dinaric mountains; water and route hub for the Slovenian capital
Solomon Islands,Honiara,85K,Location,Guadalcanal coastal position concentrated administration and services
Somalia,Mogadishu,4.7M,Harbor,"Indian Ocean. Indian Ocean harbor on Somalia's Benadir coast; one of East Africa's oldest ports, Arab/Swahili trade center and historic capital"
South Africa,Johannesburg,15.0M,Resource,Witwatersrand gold reef drove Johannesburg's mining-led growth
South Korea,Seoul-Incheon,23.8M,River,Han River. Han River flowing through the central Korean peninsula; the river valley was the historic and modern core of the Korean capital region
South Sudan,Juba,600K,River,White Nile River. White Nile River in South Sudan; the river provided the main transport artery for the new capital
Spain,Madrid,6.5M,Location,Central Meseta position made Madrid suitable as a national capital
Sri Lanka,Colombo,3.6M,Harbor,"Indian Ocean. Natural harbor on Sri Lanka's southwest coast; historic Indian Ocean emporium, British colonial capital and major tea/rubber export port"
Sudan,Khartoum,7.7M,River,Blue Nile and White Nile rivers. Confluence of the Blue Nile and White Nile; the 'elephant's trunk' junction created a historic trade and colonial capital
Suriname,Paramaribo,240K,Harbor,Atlantic Ocean. Suriname River harbor on the Atlantic coast; Dutch colonial capital and main port for the plantation and later bauxite economy
Sweden,Stockholm,2.3M,Harbor,"Baltic Sea. Baltic archipelago harbor at Lake Mälaren's outlet; island site chosen for defense and trade, Sweden's historic capital and naval base"
Switzerland,Zurich,920K,Location,Alpine route hub position on Lake Zurich and the Limmat favored trade
Syria,Damascus,3.4M,Location,Barada oasis position on Levant trade routes sustained Damascus
Taiwan,New Taipei,9.9M,Topography,"Taipei Basin, an ancient lakebed plain ringed by mountains in northern Taiwan; fertile sheltered terrain enabled early Han farming settlements and large urban expansion"
Tajikistan,Dushanbe,1.6M,River,Varzob (Dushanbinka) River. Varzob River in the Gissar Valley; water source and route in the Pamir-Alai foothills for the Tajik capital
Tanzania,Dar es Salaam,8.9M,Harbor,Indian Ocean. Natural 'Haven of Peace' harbor on the Indian Ocean; German then British colonial capital and Tanzania's largest city and chief port
Thailand,Bangkok,20.3M,River,"Chao Phraya River. Chao Phraya River delta; the 'river of kings' supported the Thai capital's canals, trade, and fertile rice plain"
Togo,Lome,2.7M,Harbor,Gulf of Guinea. Gulf of Guinea coastal harbor on Togo's narrow littoral; German then French colonial capital and country's main port
Tonga,Nuku'alofa,25K,Harbor,"Pacific Ocean. Harbor on Tongatapu island; capital and main port of the Kingdom of Tonga, historic Polynesian royal and trade center"
Trinidad and Tobago,Chaguanas,85K,Topography,Central Trinidad plain gave Chaguanas room to expand
Tunisia,Tunis,2.8M,Harbor,"Mediterranean Sea. Natural harbor on the Gulf of Tunis near ancient Carthage; historic Phoenician, Roman, Hafsid, and Ottoman port; capital of Tunisia"
Turkey,Istanbul,14.7M,Harbor,Bosporus. Golden Horn and Bosporus strait; unique transcontinental harbor linking Black Sea and Mediterranean trade for millennia
Turkmenistan,Ashgabat,1.3M,Topography,Karakum foothill setting defined Ashgabat's desert-edge site
Tuvalu,Vaiaku,6K,Topography,Funafuti atoll geography concentrates settlement on narrow land
Uganda,Kampala,5.1M,Topography,Hill terrain near Lake Victoria formed Kampala's settlement core
Ukraine,Kyiv,2.8M,River,Dnieper River. Dnieper River at its rapids and crossing in the forest-steppe; historic Rus capital and major Ukrainian river city
United Arab Emirates,Dubai,5.1M,Harbor,"Persian Gulf. Natural creek (khor) harbor on the Persian Gulf; historic pearling, dhow, and re-export trade entrepôt that seeded the modern city-state"
United States,Los Angeles,12.5M,Topography,Los Angeles River floodplain in the coastal basin; Spanish agricultural pueblo founded 1781 to support missions and create a self-sustaining settlement in Alta California
United States,New York,20.9M,Harbor,Atlantic Ocean. One of the world's largest and best natural harbors at the Hudson mouth and Upper New York Bay; drove Dutch New Amsterdam (1624) and British colonial trade dominance
Uruguay,Montevideo,1.4M,Harbor,"Río de la Plata. Natural harbor on the north shore of the Río de la Plata estuary; Spanish founded 1726 to counter Portuguese, later Uruguay's capital and major port"
Uzbekistan,Tashkent,4.0M,Location,Silk Road oasis-and-route position made Tashkent a trade hub
Vanuatu,Port Vila,50K,Harbor,Pacific Ocean. Harbor on Efate island; French/British colonial administrative center (condominium) and main port for the Pacific island nation of Vanuatu
Vatican City,Vatican City,1K,Topography,Vatican Hill provided an elevated defensible papal seat
Venezuela,Caracas,2.6M,Topography,Caracas valley in the coastal mountains concentrated settlement
Vietnam,Ho Chi Minh City,16.0M,River,Saigon River. Saigon River (tributary of the Dong Nai) in the Mekong Delta system; river port and commercial hub of southern Vietnam
Yemen,Sana'a,3.8M,Topography,Highland basin in Yemen's mountains supported protected settlement
Zambia,Lusaka,3.3M,Location,Central plateau position made Lusaka practical as Zambia's capital
Zimbabwe,Harare,2.4M,Topography,Highveld plateau setting supported Harare's urban growth
